name,address,website,instagram_handle,lat,lng
Great Lakes Tattoo,"1148 W Grand Ave, Chicago, IL 60642",https://greatlakestattoo.com,greatlakestattoo,,
Deluxe Tattoo,"1459 W Irving Park Rd, Chicago, IL 60613",https://deluxetattoo.com,deluxetattoo,,
Insight Studios,"1062 N Milwaukee Ave, Chicago, IL 60642",https://insightstudios.com,insightstudios,,
Tatu Tattoo,"1754 W North Ave, Chicago, IL 60622",https://www.tatutattoo.com,tatutattoo,,
Speakeasy Custom Tattoo,"2154 N Western Ave, Chicago, IL 60647",https://speakeasytattoo.com,speakeasytattoo,,
